title,sinopse,release_day,release_month,release_year
três homens em conflito,três pistoleiros competem para encontrar um tesouro enterrado.,24,SEPTEMBER,2026
o segredo do abismo,uma equipe de mergulho encontra uma forma de vida alienígena submarina.,14,FEBRUARY,2026
star wars: o despertar da força,uma catadora e um stormtrooper se unem contra a primeira ordem.,28,MAY,2025
rogue one: uma história star wars,rebeldes tentam roubar os planos da estrela da morte.,23,MAY,2028
capitã marvel,carol danvers se torna uma das heroínas mais poderosas do universo.,17,APRIL,2027
doutor estranho no multiverso da loucura,o doutor estranho navega pelas realidades alternativas.,19,FEBRUARY,2028
shang-chi e a lenda dos dez anéis,um jovem deve enfrentar o passado de sua família.,22,JULY,2026
viúva negra,natasha romanoff confronta a parte mais sombria de sua história.,24,SEPTEMBER,2026
os eternos,seres imortais se reúnem para proteger a terra.,13,MARCH,2025
frozen: uma aventura congelante,uma princesa com poderes de gelo acidentalmente congela seu reino.,30,APRIL,2026
moana: um mar de aventuras,uma jovem busca um semideus para salvar sua ilha.,26,MAY,2027
